,Date,Open,High,Low,Close,Volume,VZO
0,2023-03-29 18:15:00-05:00,7.391,7.391,7.387,7.387,81.0,
1,2023-03-29 18:30:00-05:00,7.398,7.398,7.398,7.398,3.37,
2,2023-03-29 18:45:00-05:00,7.364,7.364,7.364,7.364,6.71,
3,2023-03-29 19:00:00-05:00,7.386,7.386,7.386,7.386,8.12,
4,2023-03-29 19:15:00-05:00,7.413,7.413,7.413,7.413,8.18,
5,2023-03-29 19:30:00-05:00,7.419,7.419,7.419,7.419,5.73,
6,2023-03-29 19:45:00-05:00,7.368,7.368,7.312,7.312,91.83,
7,2023-03-29 20:00:00-05:00,7.338,7.338,7.296,7.296,80.66,
8,2023-03-29 20:15:00-05:00,7.347,7.364,7.347,7.362,30.0,
9,2023-03-29 20:30:00-05:00,7.362,7.365,7.357,7.357,55.76,
10,2023-03-29 20:45:00-05:00,7.32,7.32,7.318,7.32,4.76,
11,2023-03-29 21:00:00-05:00,7.358,7.358,7.358,7.358,11.31,
12,2023-03-29 21:15:00-05:00,7.366,7.439,7.366,7.439,76.02,
13,2023-03-29 21:30:00-05:00,7.439,7.541,7.439,7.527,791.85,
14,2023-03-29 21:45:00-05:00,7.539,7.539,7.488,7.507,217.66,43.31002038680707
15,2023-03-29 22:00:00-05:00,7.517,7.517,7.258,7.326,1524.78,-46.38845402437954
16,2023-03-29 22:15:00-05:00,7.337,7.37,7.337,7.37,53.11,-42.68811670984397
17,2023-03-29 22:30:00-05:00,7.37,7.37,7.37,7.37,0.0,-42.59572434026785
18,2023-03-29 22:45:00-05:00,7.378,7.409,7.373,7.409,72.38,-36.469126962208485
19,2023-03-29 23:00:00-05:00,7.419,7.426,7.419,7.426,14.43,-35.09459980982892
20,2023-03-29 23:15:00-05:00,7.426,7.457,7.426,7.457,99.54,-25.408588841273197
21,2023-03-29 23:30:00-05:00,7.453,7.453,7.453,7.453,3.47,-25.594352987133792
22,2023-03-29 23:45:00-05:00,7.455,7.479,7.455,7.473,89.45,-15.723199433258433
23,2023-03-30 00:00:00-05:00,7.48,7.494,7.48,7.488,21.63,-13.233370789291872
24,2023-03-30 00:15:00-05:00,7.494,7.522,7.489,7.504,159.43,4.216719294753016
25,2023-03-30 00:30:00-05:00,7.488,7.489,7.466,7.489,326.12,-23.59444895431069
26,2023-03-30 00:45:00-05:00,7.489,7.489,7.489,7.489,0.0,-23.58213819501295
27,2023-03-30 01:00:00-05:00,7.489,7.489,7.489,7.489,56.69,-16.39239710955245
28,2023-03-30 01:15:00-05:00,7.462,7.462,7.425,7.425,99.08,-25.16268216553606
29,2023-03-30 01:30:00-05:00,7.423,7.423,7.401,7.401,115.68,-34.429212976314304
30,2023-03-30 01:45:00-05:00,7.396,7.401,7.391,7.401,10.84,-32.644617995822585
31,2023-03-30 02:00:00-05:00,7.401,7.401,7.401,7.401,0.0,-32.636497195425115
32,2023-03-30 02:15:00-05:00,7.414,7.414,7.403,7.403,18.07,-28.85503965095391
33,2023-03-30 02:30:00-05:00,7.403,7.403,7.403,7.403,0.0,-28.849680125768554
