,index,Date,Open,High,Low,Close,Volume,Slope,Intercept,Upper_Deviation,Lower_Deviation,Correlation,HH,LL,K,D,Crossover,VZO
0,15,2023-03-29 22:30:00-05:00,1781.86,1789.87,1780.84,1786.5,596.14,0.2756470588235278,1792.8326470588236,1817.639279505275,1768.0260146123721,0.5553415010802665,1829.84,1767.15,30.866166852767527,25.35757962460772,0,
1,16,2023-03-29 22:45:00-05:00,1786.35,1791.34,1785.5,1788.15,296.0126,0.09735294117647121,1793.724117647059,1817.965178643544,1769.483056650574,0.5546477645171829,1829.84,1767.15,33.49816557664709,29.776147179241732,0,
2,17,2023-03-29 23:00:00-05:00,1786.84,1790.59,1785.91,1790.49,248.1811,0.011578947368421785,1794.1815789473685,1817.7748242419316,1770.5883336528054,0.5562623746536843,1829.84,1767.15,37.23081831233049,33.86505024724837,0,
3,18,2023-03-29 23:15:00-05:00,1790.76,1797.89,1789.67,1796.3,412.7659,0.04173684210526309,1794.0106842105265,1816.9579224471872,1771.0634459738658,0.5537214659473285,1829.84,1767.15,46.498644121869425,39.07587600361567,0,
4,19,2023-03-29 23:30:00-05:00,1795.27,1798.94,1794.51,1796.31,254.0429,0.0632556390977436,1793.8815714285715,1816.2333351644666,1771.5298076926765,0.5516980536563785,1829.84,1767.15,46.514595629286866,43.41468602116226,0,
5,20,2023-03-29 23:45:00-05:00,1796.87,1799.4,1794.82,1796.81,111.1495,0.08485714285714158,1793.7447619047618,1815.554235381518,1771.9352884280056,0.5496030325215358,1829.84,1767.15,47.31217100015942,46.775136917105236,0,
6,21,2023-03-30 00:00:00-05:00,1796.13,1797.96,1791.6,1793.88,138.4937,0.06533032185206127,1793.8749407114624,1815.1609807682391,1772.5889006546856,0.549764288431413,1829.84,1767.15,42.63837932684653,45.48838198543094,-1,
7,22,2023-03-30 00:15:00-05:00,1793.92,1794.84,1790.97,1791.11,59.6769,0.01965415019762766,1794.1946739130435,1815.0410487128138,1773.3482991132732,0.5507611899485131,1829.84,1767.15,38.219811772212275,42.723454033072734,0,
8,23,2023-03-30 00:30:00-05:00,1790.87,1796.18,1790.87,1795.49,140.4909,0.028086956521738596,1794.1328333333333,1814.5257493383683,1773.7399173282984,0.54956051696147,1829.84,1767.15,45.20657202105598,42.02158770670493,1,
9,24,2023-03-30 00:45:00-05:00,1795.33,1798.63,1794.36,1796.96,95.3147,0.04796153846153839,1793.9804615384617,1813.9691183217476,1773.9918047551757,0.5471694030911355,1829.84,1767.15,47.55144361142133,43.65927580156319,0,
10,25,2023-03-30 01:00:00-05:00,1797.28,1802.0,1796.06,1800.58,143.7085,0.09411965811965749,1793.6111965811967,1813.3380159357241,1773.8843772266694,0.540888846302903,1826.35,1767.15,56.4695945945945,49.74253674235727,0,
11,26,2023-03-30 01:15:00-05:00,1800.51,1801.08,1794.78,1796.35,118.6968,0.0964346764346752,1793.5919047619047,1812.9449870712372,1774.2388224525723,0.540017086084477,1817.8,1767.15,57.65054294175695,53.89052704925759,0,
12,27,2023-03-30 01:30:00-05:00,1796.7,1797.43,1793.1,1794.88,193.1035,0.08671319102353563,1793.676157635468,1812.667472651331,1774.6848426196048,0.5399283336737427,1802.0,1776.28,72.31726283048256,62.14580012227801,0,
13,28,2023-03-30 01:45:00-05:00,1795.09,1797.37,1793.32,1796.32,184.4675,0.08820197044334917,1793.6627586206896,1812.3198841496915,1775.0056330916877,0.5391031228188778,1802.0,1780.84,73.15689981096388,67.70823519440114,0,
14,29,2023-03-30 02:00:00-05:00,1796.56,1797.28,1794.46,1795.67,117.5719,0.0846496106785317,1793.6959139784944,1812.0307124988385,1775.3611154581504,0.538694045298222,1802.0,1785.5,61.63636363636408,69.03684209260352,-1,19.355999427932186
15,30,2023-03-30 02:15:00-05:00,1796.33,1800.04,1795.94,1799.61,147.3021,0.10506048387096718,1793.4986088709677,1811.6036776556734,1775.393540086262,0.5351023470495397,1802.0,1785.91,85.14605344934672,73.31310563222489,1,30.325593045327885
